component1,component2,component3,label
-1.103391,2.9600675,0.35323384,InfoVis
-0.9644116,1.0537766,-0.07110327,InfoVis
-0.4757311,2.0227573,0.04505297,InfoVis
-0.8699653,2.4698894,0.29733747,InfoVis
-0.89876425,-0.548801,-0.056222755,InfoVis
-0.9514721,0.51474243,-0.34880033,InfoVis
-1.2638998,-0.84293586,-0.30571494,InfoVis
-1.166864,-0.3914928,-0.25477287,InfoVis
-1.023517,0.2538531,-0.22020005,InfoVis
-0.8668007,-0.7362366,-0.07132463,InfoVis
-0.5681045,-0.20975935,-0.15731156,InfoVis
-1.376247,-0.33430797,-0.32532725,InfoVis
-1.0892824,0.6051151,-0.29466113,InfoVis
-1.1644683,0.59600914,0.18706393,InfoVis
-1.1977596,-0.01859653,0.072434686,InfoVis
-1.3972659,0.34085956,-0.35275707,InfoVis
-0.89798284,1.5121666,0.25757024,InfoVis
-1.503695,0.584333,-0.29716387,InfoVis
-0.524886,2.3204017,0.45580792,InfoVis
-0.9471836,1.1670189,-0.19622664,InfoVis
-0.31169707,2.2243304,0.31006324,InfoVis
-1.4982847,-0.9765676,-0.32106525,InfoVis
-0.9598016,0.7066931,-0.24839683,InfoVis
-0.88758814,0.47579035,-0.04048197,InfoVis
-0.8871615,1.3966131,-0.30722862,InfoVis
-1.4586458,-0.88949317,-0.36913672,InfoVis
-1.068224,-0.4203904,-0.19133869,InfoVis
-0.62978077,0.9463261,-0.14795877,InfoVis
-0.9723336,0.38655785,-0.2541654,InfoVis
-1.3069254,2.1943655,-0.11403194,InfoVis
-1.1542088,-0.025642376,-0.3414572,InfoVis
-1.3205472,-2.0101705,0.23205537,VAST
-0.64924264,-0.5046929,0.1845811,VAST
-1.190047,-1.4646969,0.36968994,VAST
-1.2409024,-1.2376579,-0.15749475,VAST
-1.3945427,-2.3514223,-0.022915503,VAST
-0.8716146,-1.3586569,0.6248011,VAST
-0.8800068,-0.95602554,0.123734325,VAST
-1.5697702,-1.96662,0.08046153,VAST
-1.2745254,-1.891712,-0.16307688,VAST
-1.4503764,-1.2440467,-0.48154798,VAST
-0.962853,-2.5889034,0.5717844,VAST
